dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query
2c820d53-cbd7-4e0a-be7a-a0ad1989a98f,685024,25,blood,normal,blood;brain;intestine;kidney;liver;lung
2d31c0ca-0233-41ce-bd1a-05aa8404b073,0,0,,,blood;brain;intestine;kidney;liver;lung
2d85960a-2ba8-4f54-9aec-537fae839f5d,0,0,,,blood;brain;intestine;kidney;liver;lung
2d9f953c-940f-43d4-b9cc-7ea371cefb4c,0,0,,,blood;brain;intestine;kidney;liver;lung
2dd73feb-0527-47d5-8c7b-35b6de16aecb,0,0,,,blood;brain;intestine;kidney;liver;lung
2dd9d7a2-4bee-4c3f-a1f5-89bc3271c4f0,0,0,,,blood;brain;intestine;kidney;liver;lung
2e5a9b5d-d31b-4e9f-a179-d5d70ba459fb,0,0,,,blood;brain;intestine;kidney;liver;lung
2e95d453-930b-4425-9475-ccaf8cf2ac40,0,0,,,blood;brain;intestine;kidney;liver;lung
2e9d2f32-4cfb-49b5-b990-cbf4c241214e,0,0,,,blood;brain;intestine;kidney;liver;lung
2ecc72f8-085f-4e86-8692-771f316c54f6,0,0,,,blood;brain;intestine;kidney;liver;lung
2f05ab20-a092-4bab-9276-3e0eb24e3fee,0,0,,,blood;brain;intestine;kidney;liver;lung
2f132ec9-24b5-422f-9be0-ccef03b4fe28,39778,9,lung,normal,blood;brain;intestine;kidney;liver;lung
2f6a20f1-173d-4b8d-860b-c47ffea120fa,0,0,,,blood;brain;intestine;kidney;liver;lung
2f7230e7-4706-4924-b571-473fc1e52c30,0,0,,,blood;brain;intestine;kidney;liver;lung
2fc9c59f-3cfd-48d9-9b23-e369ea31bff3,0,0,,,blood;brain;intestine;kidney;liver;lung
305c1196-76b3-42d1-818f-2694d01dbd97,0,0,,,blood;brain;intestine;kidney;liver;lung
3079e9b0-c6db-45c8-b998-a4555a73968e,28943,1,brain,normal,blood;brain;intestine;kidney;liver;lung
30c2a6fd-d547-460f-a5e7-44c62a2af7ad,207952,28,blood,normal;open-angle glaucoma,blood;brain;intestine;kidney;liver;lung
30cd5311-6c09-46c9-94f1-71fe4b91813c,125117,10,blood,COVID-19;normal,blood;brain;intestine;kidney;liver;lung
30f5e171-83d7-4fc0-bf75-384f122346b3,0,0,,,blood;brain;intestine;kidney;liver;lung
31285bcd-9a28-48ce-8cc0-543af80261d3,11244,1,brain,normal,blood;brain;intestine;kidney;liver;lung
31f04740-c712-4c4b-a3f8-55c0506b3034,0,0,,,blood;brain;intestine;kidney;liver;lung
31f657dc-1875-4c4b-a5ca-ce63b3ef3a82,0,0,,,blood;brain;intestine;kidney;liver;lung
322c816f-608a-4da1-99c4-36ca4ad45146,0,0,,,blood;brain;intestine;kidney;liver;lung
3241c34f-581a-4de3-81fe-28e3de182680,9687,28,blood,HIV infectious disease;HIV infectious disease || leishmaniasis;normal,blood;brain;intestine;kidney;liver;lung
325044a1-4766-4104-8da9-abdfd1397e74,0,0,,,blood;brain;intestine;kidney;liver;lung
3294d050-6eeb-4a00-b24c-71aacc9b777f,0,0,,,blood;brain;intestine;kidney;liver;lung
32b9bdce-2481-4c85-ba1b-6ad5fcea844c,0,0,,,blood;brain;intestine;kidney;liver;lung
32e8a3d7-7b15-4f80-a0ff-6d2fc531e972,0,0,,,blood;brain;intestine;kidney;liver;lung
