dataset_id,cell_count,unique_cell_types,tissues,diseases,tissue_general_query,collection_name,collection_doi,dataset_title,dataset_h5ad_path,dataset_total_cell_count
e6dad530-418b-47f9-af6e-472e56a7b314,0,0,,,blood;brain;intestine;kidney;liver;lung,Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration,10.1016/j.celrep.2019.12.082,All cell types of human eye,e6dad530-418b-47f9-af6e-472e56a7b314.h5ad,100055
e73e4eb8-d5f3-47c3-b446-330f37d042da,0,0,,,blood;brain;intestine;kidney;liver;lung,Chromatin accessibility during human first-trimester neurodevelopment,10.1038/s41586-024-07234-1,All_Neuron_GLUT,e73e4eb8-d5f3-47c3-b446-330f37d042da.h5ad,29523
e763ed0d-0e5a-4b8e-9514-6da3d9e47956,0,0,,,blood;brain;intestine;kidney;liver;lung,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,10.1016/j.isci.2021.103115,Platelet sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,e763ed0d-0e5a-4b8e-9514-6da3d9e47956.h5ad,7274
e7bd68ab-df49-44df-9b1e-8486114aeeb5,0,0,,,blood;brain;intestine;kidney;liver;lung,LNCS: Atlas of healthy human lymph nodes with and without ex vivo adjuvant stimulation,10.1016/j.celrep.2025.115938,Human lymph node slices cultured with and without ex vivo stimulation by liposomal TLR4 and QS-21 adjuvant,e7bd68ab-df49-44df-9b1e-8486114aeeb5.h5ad,109297
e7c5ba7e-4be0-4696-af50-a07d0dc7aac5,0,0,,,blood;brain;intestine;kidney;liver;lung,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,10.1073/pnas.2313326120,BCC and Normal - scRNA-seq data,e7c5ba7e-4be0-4696-af50-a07d0dc7aac5.h5ad,152189
e84f2780-51e8-4cfa-8aa0-13bbfef677c7,152535,14,liver,normal,blood;brain;intestine;kidney;liver;lung,Spatial proteogenomics reveals distinct and evolutionarily conserved hepatic macrophage niches,10.1016/j.cell.2021.12.018,All cells from human liver dataset,e84f2780-51e8-4cfa-8aa0-13bbfef677c7.h5ad,167598
e8681d74-ac9e-4be5-be14-1cf1bbd54dd7,0,0,,,blood;brain;intestine;kidney;liver;lung,Human Brain Cell Atlas v1.0,10.1126/science.add7046,Dissection: Thalamus (THM) - Anterior nuclear complex - ANC,e8681d74-ac9e-4be5-be14-1cf1bbd54dd7.h5ad,31307
e871881f-b42d-4500-906d-0972a14ba47d,0,0,,,blood;brain;intestine;kidney;liver;lung,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,10.1038/s41588-022-01243-4,Fibroblasts,e871881f-b42d-4500-906d-0972a14ba47d.h5ad,20515
e8a11a27-9c47-4673-b65d-11b9cd6065e1,0,0,,,blood;brain;intestine;kidney;liver;lung,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,10.1016/j.cell.2022.11.005,Epithelium (no cilium),e8a11a27-9c47-4673-b65d-11b9cd6065e1.h5ad,9096
e8ac3386-31d4-48ba-aa70-1bae0cf020e7,0,0,,,blood;brain;intestine;kidney;liver;lung,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Lamp5 Lhx6 - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),e8ac3386-31d4-48ba-aa70-1bae0cf020e7.h5ad,21443
e9175006-8978-4417-939f-819855eab80e,0,0,,,blood;brain;intestine;kidney;liver;lung,HTAN MSK - Single cell profiling reveals novel tumor and myeloid subpopulations in small cell lung cancer,10.1016/j.ccell.2021.09.008,Myeloid cells,e9175006-8978-4417-939f-819855eab80e.h5ad,14072
ea01c125-67a7-4bd3-a8b0-e1b53a011b7e,4636,4,kidney,Wilms tumor,blood;brain;intestine;kidney;liver;lung,Single cell derived mRNA signals across human kidney tumors,10.1038/s41467-021-23949-5,wilms,ea01c125-67a7-4bd3-a8b0-e1b53a011b7e.h5ad,4636
ea15345a-4b48-46c0-b641-f338649ebf13,0,0,,,blood;brain;intestine;kidney;liver;lung,Human subcutaneous and visceral adipocyte atlases uncover classical and non-classical adipocytes and depot-specific patterns,10.1038/s41588-024-02048-3,Differentiation path from ASPCs to adipocytes in visceral adipose tissue,ea15345a-4b48-46c0-b641-f338649ebf13.h5ad,30969
ea251de5-c764-4f7c-add0-8141b1061faf,0,0,,,blood;brain;intestine;kidney;liver;lung,Comprehensive cell atlas of the first-trimester developing human brain,10.1126/science.adf1226,ClassFibroblast,ea251de5-c764-4f7c-add0-8141b1061faf.h5ad,19161
ea426edb-4e86-4c53-ab17-5b952d94a31e,0,0,,,blood;brain;intestine;kidney;liver;lung,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra,10.1016/j.celrep.2018.11.086,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra - Human Fibromuscular Stromal Cells,ea426edb-4e86-4c53-ab17-5b952d94a31e.h5ad,2113
ea786a06-5855-48b7-80d7-0313a21a2044,4792,8,blood,COVID-19,blood;brain;intestine;kidney;liver;lung,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,66 years old female - Fresh PBMCs (3 days post-intubation),ea786a06-5855-48b7-80d7-0313a21a2044.h5ad,4792
