dataset_id,file_name,status,n_obs_before,n_vars_before,n_obs_after,n_vars_after,unique_cell_types_after,tissues,n_mapped_ontology_labels,n_unmapped_ontology_labels,n_unique_cl_ids,elapsed_sec,error
dea717d4-7bc0-4e46-950f-fd7e1cc8df7d,dea717d4-7bc0-4e46-950f-fd7e1cc8df7d.h5ad,failed,,,,,,,,,,,"MemoryError((4779395227200,), dtype('int16'))"
e04daea4-4412-45b5-989e-76a9be070a89,e04daea4-4412-45b5-989e-76a9be070a89.h5ad,failed,,,,,,,,,,,"ValueError('Length of passed value for obs_names is 9409, but this AnnData has shape: (9090, 30141)')"
e3ed2ba4-edf5-40ac-8750-8a417ad1eefe,e3ed2ba4-edf5-40ac-8750-8a417ad1eefe.h5ad,exists_cleaned_complete,,,,,,,,,,0.0,
e40c6272-af77-4a10-9385-62a398884f27,e40c6272-af77-4a10-9385-62a398884f27.h5ad,exists_cleaned_complete,,,,,,,,,,0.0,
e84f2780-51e8-4cfa-8aa0-13bbfef677c7,e84f2780-51e8-4cfa-8aa0-13bbfef677c7.h5ad,failed,,,,,,,,,,,"MemoryError((1987069773248,), dtype('int16'))"
eb499fd8-7000-419f-8854-926b9b61b11f,eb499fd8-7000-419f-8854-926b9b61b11f.h5ad,failed,,,,,,,,,,,"OSError('Unable to synchronously open file (truncated file: eof = 159383552, sblock->base_addr = 0, stored_eof = 2068995235)')"
ed5d841d-6346-47d4-ab2f-7119ad7e3a35,ed5d841d-6346-47d4-ab2f-7119ad7e3a35.h5ad,failed,,,,,,,,,,,"ValueError('Length of passed value for obs_names is 161159, but this AnnData has shape: (161119, 20261)')"
f7c1c579-2dc0-47e2-ba19-8165c5a0e353,f7c1c579-2dc0-47e2-ba19-8165c5a0e353.h5ad,skipped,,,,,,,,,,0.0,file_too_large: 26.86 GB
f7ca7eb9-0919-4eba-99a1-21ba382b4174,f7ca7eb9-0919-4eba-99a1-21ba382b4174.h5ad,exists_cleaned_complete,,,,,,,,,,0.0,
f801b7a9-80a6-4d09-9161-71474deb58ae,f801b7a9-80a6-4d09-9161-71474deb58ae.h5ad,failed,,,,,,,,,,,"ValueError('Length of passed value for obs_names is 5984, but this AnnData has shape: (5853, 18109)')"
